order_id,product_id,add_to_cart_order,reordered,user_id,eval_set,order_number,order_dow,order_hour_of_day,days_since_prior_order,product_name,aisle_id,department_id,aisle,department
2,33120,1,1,202279,prior,3,5,9,8.0,Organic Egg Whites,86,16,eggs,dairy eggs
26,33120,5,0,153404,prior,2,0,16,7.0,Organic Egg Whites,86,16,eggs,dairy eggs
120,33120,13,0,23750,prior,11,6,8,10.0,Organic Egg Whites,86,16,eggs,dairy eggs
327,33120,5,1,58707,prior,21,6,9,8.0,Organic Egg Whites,86,16,eggs,dairy eggs
390,33120,28,1,166654,prior,48,0,12,9.0,Organic Egg Whites,86,16,eggs,dairy eggs
537,33120,2,1,180135,prior,15,2,8,3.0,Organic Egg Whites,86,16,eggs,dairy eggs
582,33120,7,1,193223,prior,6,2,19,10.0,Organic Egg Whites,86,16,eggs,dairy eggs
608,33120,5,1,91030,prior,11,3,21,12.0,Organic Egg Whites,86,16,eggs,dairy eggs
623,33120,1,1,37804,prior,63,3,12,3.0,Organic Egg Whites,86,16,eggs,dairy eggs
689,33120,4,1,108932,prior,16,1,13,3.0,Organic Egg Whites,86,16,eggs,dairy eggs
726,33120,3,1,57362,prior,25,2,17,7.0,Organic Egg Whites,86,16,eggs,dairy eggs
771,33120,29,1,73968,prior,16,0,17,7.0,Organic Egg Whites,86,16,eggs,dairy eggs
800,33120,3,1,132856,prior,3,5,7,3.0,Organic Egg Whites,86,16,eggs,dairy eggs
901,33120,3,1,160657,prior,31,1,23,8.0,Organic Egg Whites,86,16,eggs,dairy eggs
1005,33120,5,1,108796,prior,11,2,14,6.0,Organic Egg Whites,86,16,eggs,dairy eggs
1097,33120,14,1,30502,prior,5,4,0,8.0,Organic Egg Whites,86,16,eggs,dairy eggs
1193,33120,5,1,113928,prior,12,4,21,9.0,Organic Egg Whites,86,16,eggs,dairy eggs
1300,33120,1,1,29456,prior,6,4,9,20.0,Organic Egg Whites,86,16,eggs,dairy eggs
1887,33120,6,1,25085,prior,78,1,10,3.0,Organic Egg Whites,86,16,eggs,dairy eggs
2082,33120,20,0,108338,prior,3,3,13,10.0,Organic Egg Whites,86,16,eggs,dairy eggs
2357,33120,6,1,67308,prior,11,5,12,9.0,Organic Egg Whites,86,16,eggs,dairy eggs
2551,33120,6,1,20944,prior,54,6,18,4.0,Organic Egg Whites,86,16,eggs,dairy eggs
2652,33120,1,1,37557,prior,15,1,14,21.0,Organic Egg Whites,86,16,eggs,dairy eggs
2846,33120,10,1,168005,prior,31,4,15,15.0,Organic Egg Whites,86,16,eggs,dairy eggs
2929,33120,1,0,173056,prior,4,1,10,21.0,Organic Egg Whites,86,16,eggs,dairy eggs
3031,33120,2,1,2555,prior,21,6,9,6.0,Organic Egg Whites,86,16,eggs,dairy eggs
3302,33120,3,0,116952,prior,13,0,9,30.0,Organic Egg Whites,86,16,eggs,dairy eggs
3304,33120,4,1,42591,prior,4,1,14,14.0,Organic Egg Whites,86,16,eggs,dairy eggs
3351,33120,3,1,66340,prior,13,4,5,7.0,Organic Egg Whites,86,16,eggs,dairy eggs
3365,33120,2,1,112555,prior,18,5,14,5.0,Organic Egg Whites,86,16,eggs,dairy eggs
3426,33120,3,1,170703,prior,20,3,14,12.0,Organic Egg Whites,86,16,eggs,dairy eggs
3488,33120,21,1,66781,prior,9,5,17,11.0,Organic Egg Whites,86,16,eggs,dairy eggs
4075,33120,12,1,126715,prior,17,5,8,3.0,Organic Egg Whites,86,16,eggs,dairy eggs
4105,33120,5,1,25781,prior,6,0,14,21.0,Organic Egg Whites,86,16,eggs,dairy eggs
4254,33120,10,1,129196,prior,14,1,10,6.0,Organic Egg Whites,86,16,eggs,dairy eggs
4560,33120,2,0,140576,prior,7,5,19,0.0,Organic Egg Whites,86,16,eggs,dairy eggs
4731,33120,4,0,88415,prior,5,2,17,17.0,Organic Egg Whites,86,16,eggs,dairy eggs
5256,33120,10,1,162759,prior,23,2,9,22.0,Organic Egg Whites,86,16,eggs,dairy eggs
5640,33120,9,1,155,prior,15,2,0,28.0,Organic Egg Whites,86,16,eggs,dairy eggs
5733,33120,8,0,92179,prior,1,6,10,,Organic Egg Whites,86,16,eggs,dairy eggs
5812,33120,4,0,78567,prior,2,1,1,13.0,Organic Egg Whites,86,16,eggs,dairy eggs
5864,33120,2,0,56509,prior,4,1,11,20.0,Organic Egg Whites,86,16,eggs,dairy eggs
6173,33120,1,1,155845,prior,11,3,22,22.0,Organic Egg Whites,86,16,eggs,dairy eggs
6250,33120,1,1,147684,prior,14,0,16,14.0,Organic Egg Whites,86,16,eggs,dairy eggs
6365,33120,4,0,100101,prior,6,2,12,7.0,Organic Egg Whites,86,16,eggs,dairy eggs
6675,33120,16,1,188156,prior,19,5,15,5.0,Organic Egg Whites,86,16,eggs,dairy eggs
6874,33120,4,1,40092,prior,8,2,9,23.0,Organic Egg Whites,86,16,eggs,dairy eggs
6937,33120,5,1,84096,prior,2,6,16,5.0,Organic Egg Whites,86,16,eggs,dairy eggs
7267,33120,3,1,113565,prior,6,6,18,7.0,Organic Egg Whites,86,16,eggs,dairy eggs
7518,33120,6,1,74197,prior,9,3,18,10.0,Organic Egg Whites,86,16,eggs,dairy eggs
7809,33120,14,1,31900,prior,8,1,8,8.0,Organic Egg Whites,86,16,eggs,dairy eggs
7835,33120,12,1,97593,prior,15,4,20,7.0,Organic Egg Whites,86,16,eggs,dairy eggs
7856,33120,10,1,114300,prior,22,2,5,9.0,Organic Egg Whites,86,16,eggs,dairy eggs
8762,33120,4,0,68183,prior,1,3,8,,Organic Egg Whites,86,16,eggs,dairy eggs
8786,33120,11,0,79460,prior,24,0,11,6.0,Organic Egg Whites,86,16,eggs,dairy eggs
8828,33120,1,1,142813,prior,7,1,16,5.0,Organic Egg Whites,86,16,eggs,dairy eggs
9081,33120,1,0,124123,prior,1,1,15,,Organic Egg Whites,86,16,eggs,dairy eggs
9124,33120,8,1,204271,prior,38,5,7,7.0,Organic Egg Whites,86,16,eggs,dairy eggs
9183,33120,2,1,107179,prior,28,0,17,10.0,Organic Egg Whites,86,16,eggs,dairy eggs
9204,33120,5,0,190854,prior,3,0,14,17.0,Organic Egg Whites,86,16,eggs,dairy eggs
9512,33120,6,1,58250,prior,3,2,10,7.0,Organic Egg Whites,86,16,eggs,dairy eggs
9925,33120,1,1,173598,prior,8,1,11,15.0,Organic Egg Whites,86,16,eggs,dairy eggs
10005,33120,2,0,9790,prior,8,1,18,5.0,Organic Egg Whites,86,16,eggs,dairy eggs
10084,33120,10,1,6851,prior,26,1,22,11.0,Organic Egg Whites,86,16,eggs,dairy eggs
10264,33120,15,0,127673,prior,11,6,8,7.0,Organic Egg Whites,86,16,eggs,dairy eggs
10853,33120,2,1,73826,prior,25,0,18,7.0,Organic Egg Whites,86,16,eggs,dairy eggs
10951,33120,5,1,176108,prior,41,4,14,3.0,Organic Egg Whites,86,16,eggs,dairy eggs
10977,33120,6,1,74197,prior,38,6,12,6.0,Organic Egg Whites,86,16,eggs,dairy eggs
11007,33120,1,1,66412,prior,12,0,11,11.0,Organic Egg Whites,86,16,eggs,dairy eggs
11547,33120,1,1,176951,prior,15,1,10,1.0,Organic Egg Whites,86,16,eggs,dairy eggs
11551,33120,1,1,99731,prior,14,1,11,3.0,Organic Egg Whites,86,16,eggs,dairy eggs
11588,33120,3,1,36113,prior,23,5,16,4.0,Organic Egg Whites,86,16,eggs,dairy eggs
11879,33120,7,1,52824,prior,8,0,16,2.0,Organic Egg Whites,86,16,eggs,dairy eggs
11957,33120,10,1,51177,prior,12,6,16,10.0,Organic Egg Whites,86,16,eggs,dairy eggs
11960,33120,2,1,53621,prior,15,2,15,2.0,Organic Egg Whites,86,16,eggs,dairy eggs
12109,33120,2,1,40332,prior,88,4,14,3.0,Organic Egg Whites,86,16,eggs,dairy eggs
12131,33120,24,1,45090,prior,13,6,14,12.0,Organic Egg Whites,86,16,eggs,dairy eggs
12414,33120,5,1,68183,prior,14,4,15,4.0,Organic Egg Whites,86,16,eggs,dairy eggs
12587,33120,6,1,44227,prior,9,2,10,13.0,Organic Egg Whites,86,16,eggs,dairy eggs
13215,33120,13,1,107592,prior,27,2,14,9.0,Organic Egg Whites,86,16,eggs,dairy eggs
13368,33120,4,1,37804,prior,62,0,18,3.0,Organic Egg Whites,86,16,eggs,dairy eggs
13420,33120,3,1,88736,prior,28,3,13,7.0,Organic Egg Whites,86,16,eggs,dairy eggs
13667,33120,7,1,34794,prior,30,0,13,7.0,Organic Egg Whites,86,16,eggs,dairy eggs
13705,33120,8,1,115750,prior,24,3,18,17.0,Organic Egg Whites,86,16,eggs,dairy eggs
13968,33120,4,1,158543,prior,34,1,10,9.0,Organic Egg Whites,86,16,eggs,dairy eggs
14871,33120,6,1,140164,prior,2,0,15,30.0,Organic Egg Whites,86,16,eggs,dairy eggs
14873,33120,14,0,101856,prior,4,5,11,3.0,Organic Egg Whites,86,16,eggs,dairy eggs
15025,33120,1,0,100407,prior,5,6,20,1.0,Organic Egg Whites,86,16,eggs,dairy eggs
15050,33120,51,1,161400,prior,5,0,18,15.0,Organic Egg Whites,86,16,eggs,dairy eggs
15180,33120,3,0,188560,prior,1,6,7,,Organic Egg Whites,86,16,eggs,dairy eggs
15785,33120,13,1,178407,prior,21,2,14,4.0,Organic Egg Whites,86,16,eggs,dairy eggs
15860,33120,5,1,63449,prior,5,1,9,6.0,Organic Egg Whites,86,16,eggs,dairy eggs
16155,33120,3,1,194559,prior,20,1,12,14.0,Organic Egg Whites,86,16,eggs,dairy eggs
16252,33120,1,1,112535,prior,45,3,13,2.0,Organic Egg Whites,86,16,eggs,dairy eggs
16391,33120,4,0,67433,prior,1,0,18,,Organic Egg Whites,86,16,eggs,dairy eggs
16638,33120,15,1,206104,prior,11,0,9,8.0,Organic Egg Whites,86,16,eggs,dairy eggs
16640,33120,7,0,112557,prior,1,1,22,,Organic Egg Whites,86,16,eggs,dairy eggs
16776,33120,26,1,12726,prior,37,6,13,5.0,Organic Egg Whites,86,16,eggs,dairy eggs
16781,33120,3,1,69500,prior,3,3,11,8.0,Organic Egg Whites,86,16,eggs,dairy eggs
16825,33120,1,0,82364,prior,13,6,8,15.0,Organic Egg Whites,86,16,eggs,dairy eggs
16989,33120,1,1,13107,prior,61,3,14,2.0,Organic Egg Whites,86,16,eggs,dairy eggs
17111,33120,4,1,113677,prior,25,6,16,7.0,Organic Egg Whites,86,16,eggs,dairy eggs
17365,33120,2,1,164118,prior,4,3,12,8.0,Organic Egg Whites,86,16,eggs,dairy eggs
17417,33120,11,0,97321,prior,13,2,18,6.0,Organic Egg Whites,86,16,eggs,dairy eggs
17731,33120,1,1,140299,prior,4,2,8,8.0,Organic Egg Whites,86,16,eggs,dairy eggs
